departamento,anio,feminicidios,denuncias_violencia_sexual,atenciones_cem,vih_mujeres,fuente,url,fecha_descarga
ICA,2024-2025,5,414,6676,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
JUNIN,2024-2025,12,724,7212,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
LA LIBERTAD,2024-2025,6,456,8708,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
LAMBAYEQUE,2024-2025,1,429,3958,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
LIMA,2024-2025,32,2938,44262,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
LORETO,2024-2025,3,207,3514,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
MADRE DE DIOS,2024-2025,0,170,1465,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
MOQUEGUA,2024-2025,2,91,1772,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
PASCO,2024-2025,0,109,1450,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
PIURA,2024-2025,5,324,7467,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
PUNO,2024-2025,10,425,4966,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
SAN MARTIN,2024-2025,3,425,6836,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
TACNA,2024-2025,4,285,3024,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
TUMBES,2024-2025,1,51,2138,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
UCAYALI,2024-2025,5,248,2567,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
TOTAL_NACIONAL,2024-2025,134,10819,169536,[NO DISPONIBLE — CDC-MINSA solo publica % por depto en gráfico y sexo solo a nivel nacional; mujeres nuevos casos VIH 2024 ~1828 sin desagregar por depto],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
